20816 | 007: Agent Under Fire
19170 | 007: Everything or Nothing
20847 | 007: From Russia with Love
19208 | 007: NightFire
20033 | 007: Quantum of Solace
26390 | 7 Wonders of the Ancient World
21541 | 10 Pin: Champions Alley
29824 | 25 to Life
21480 | 50 Cent: Bulletproof
25305 | AC/DC Live: Rock Band Track Pack
3127 | Ace Combat 04: Shattered Skies
3129 | Ace Combat 5: The Unsung War
20921 | Ace Combat Zero: The Belkan War
20667 | The Adventures of Cookie & Cream
20716 | Agent Hugo: Hula Holiday
20717 | Agent Hugo: Lemoon Twist
29050 | Air Ranger 2 Plus: Rescue Helicopter
27495 | Air Ranger: Rescue Helicopter
22110 | AirBlade
2661 | Amplitude
20769 | Animal Soccer World
24170 | Anubis II
2688 | Ape Escape 2
2689 | Ape Escape 3
19243 | Ape Escape: Pumped & Primed
19038 | Ar tonelico II: Melody of Metafalica
19039 | Ar tonelico: Melody of Elemia
20524 | Arcana Heart
21678 | Arctic Thunder
21505 | Are You Smarter than a 5th Grader? Make the Grade
20636 | Area-51
3316 | Armored Core 2
3308 | Armored Core 3
23939 | Astérix & Obélix XXL
22599 | Astérix & Obélix XXL 2: Mission - Las Vegum
19227 | Atelier Iris: Eternal Mana
20576 | ATV Offroad Fury
3323 | Baldur's Gate: Dark Alliance
2933 | Baldur's Gate: Dark Alliance II
20694 | Barnyard
20924 | Batman Begins
20923 | Batman: Vengeance
20780 | Battle Stadium D.O.N
21705 | Battlefield 2: Modern Combat
25668 | Battlefield 2: Modern Combat 
Subset
Online Multiplayer
21425 | Bee Movie Game
9371 | Ben 10: Protector of Earth
20643 | Berserk: Millennium Falcon Hen - Seima Senki no Shou
33780 | Beta Bloc
3061 | Beyond Good & Evil
21362 | Bionicle Heroes
19040 | Black
5682 | Bleach: Blade Battlers
5685 | Bleach: Blade Battlers 2nd
5754 | Bleach: Erabareshi Tamashii
5751 | Bleach: Hanatareshi Yabou
21401 | Blood Will Tell: Tezuka Osamu's Dororo
19181 | Bloody Roar 3
19705 | BMX XXX
29057 | Bob the Builder: Festival of Fun
20646 | Boku no Natsuyasumi 2: Umi no Bouken Hen
19731 | Bomberman Kart
19041 | The Bouncer
9362 | Breath of Fire: Dragon Quarter
21481 | Britney's Dance Beat
20839 | Buffy the Vampire Slayer: Chaos Bleeds
3057 | Bully
2693 | Burnout
2694 | Burnout 2: Point of Impact
2697 | Burnout 3: Takedown
5758 | Burnout Dominator
2994 | Burnout Revenge
27627 | Buzz! The Hollywood Quiz
20558 | Cabela's Big Game Hunter 2005 Adventures
20928 | Call of Duty 2: Big Red One
20929 | Call of Duty 3
20926 | Call of Duty: Finest Hour
20927 | Call of Duty: World at War - Final Fronts
19496 | Capcom Fighting Evolution
24353 | Car Racing Challenge
24896 | Carol Vorderman's Sudoku
20700 | Cars: Mater-National Championship
2805 | Castlevania: Curse of Darkness
2679 | Castlevania: Lament of Innocence
24700 | The Cat in the Hat
21672 | Cel Damage Overdrive
19286 | Champions of Norrath
21700 | Champions: Return to Arms
2662 | Chaos Legion
21859 | Charlie and the Chocolate Factory
20527 | Chicken Little
21361 | Choro Q HG
20496 | Choro Q HG2
21538 | Choro Q HG3
20614 | Chulip
27504 | City Crisis
2698 | Clock Tower 3
34516 | Cocoto Fishing Master
22602 | Codename: Kids Next Door - Operation: V.I.D.E.O.G.A.M.E.
19189 | Cold Fear
5669 | Contra: Shattered Soldier
19043 | Crash Bandicoot: The Wrath of Cortex
20851 | Crash: Mind Over Mutant
20276 | Crash Nitro Kart
20635 | Crash of the Titans
20852 | Crash Tag Team Racing
19044 | Crash Twinsanity
21869 | Crazy Frog Racer
